filename	condition_code	description	item_code	target_onset
mando_sent_bookstore.wav	3	mando_switched_bookstore	3012	595
mando_sent_bottle.wav	3	mando_switched_bottle	3013	606
mando_sent_breakfast.wav	3	mando_switched_breakfast	3014	740
mando_sent_butter.wav	3	mando_switched_butter	3015	721
mando_sent_butterfly.wav	3	mando_switched_butterfly	3016	771
mando_sent_cake.wav	3	mando_switched_cake	3017	608
mando_sent_calendar.wav	3	mando_switched_calendar	3018	783
mando_sent_camera.wav	3	mando_switched_camera	3019	915
mando_sent_child.wav	3	mando_switched_child	3020	555
mando_sent_chili.wav	3	mando_switched_chili	3021	712
mando_sent_clothes.wav	3	mando_switched_clothes	3022	850
mando_sent_coat.wav	3	mando_switched_coat	3023	1025
mando_sent_company.wav	3	mando_switched_company	3024	870
mando_sent_computer.wav	3	mando_switched_computer	3025	736
